unified_id,year,month,revenue
AIR10424683,2021,12,5350
AIR10424683,2021,11,2350
AIR10424683,2021,10,0
AIR10424683,2021,9,900
AIR10424683,2021,8,3650
AIR10424683,2021,7,2750
AIR10424683,2021,6,0
AIR10424683,2021,5,0
AIR10424683,2021,4,8200
AIR10424683,2021,3,0
AIR10424683,2021,2,11600
AIR10424683,2021,1,3449
AIR10424683,2020,12,4449
AIR10424683,2020,11,900
AIR10424683,2020,10,0
AIR10424683,2020,9,0
AIR10424683,2020,8,0
AIR10424683,2020,7,0
AIR10424683,2020,6,0
AIR10424683,2020,5,0
AIR10424683,2020,4,0
AIR10424683,2020,3,0
AIR10424683,2020,2,3099
AIR10424683,2020,1,3399
AIR10471190,2023,12,8898
AIR10471190,2023,11,4511
AIR10471190,2023,10,2804
AIR10471190,2023,9,2785
AIR10471190,2023,8,3315
AIR10471190,2023,7,2710
AIR10471190,2023,6,720
AIR10471190,2023,5,1460
AIR10471190,2023,4,2954
AIR10471190,2023,3,5015
AIR10471190,2023,2,4335
AIR10471190,2023,1,7255
AIR10471190,2022,12,8255
AIR10471190,2022,11,4799
AIR10471190,2022,10,4665
AIR10471190,2022,9,4618
AIR10471190,2022,8,4494
AIR10471190,2022,7,6172
AIR10471190,2022,6,5540
AIR10471190,2022,5,2950
AIR10471190,2022,4,7475
AIR10471190,2022,3,6125
AIR10471190,2022,2,6665
AIR10471190,2022,1,9205
AIR10471190,2021,12,9735
AIR10471190,2021,11,7705
AIR10471190,2021,10,4525
AIR10471190,2021,9,3985
AIR10471190,2021,8,6010
AIR10471190,2021,7,6420
AIR10471190,2021,6,4235
AIR10471190,2021,4,5475
AIR10471190,2021,3,1038
AIR10471190,2021,2,5200
AIR10471190,2021,1,7228
AIR10471190,2020,12,6310
AIR10471190,2020,11,2259
AIR10471190,2020,10,1709
AIR10471190,2020,9,1693
AIR10471190,2020,8,2618
AIR10471190,2020,7,3890
AIR10471190,2020,6,1969
AIR10471190,2020,5,1329
AIR10471190,2020,4,2904
AIR10471190,2020,3,4444
AIR10471190,2020,2,5444
AIR10471190,2020,1,6049
AIR10524187,2020,10,0
AIR10524187,2020,9,0
AIR10524187,2020,8,0
AIR10524187,2020,7,0
AIR10524187,2020,6,0
AIR10524187,2020,5,0
AIR10524187,2020,4,0
AIR10524187,2020,3,0
AIR10524187,2020,2,795
AIR10524187,2020,1,1784
AIR10542265,2020,5,0
AIR10542265,2020,4,0
AIR10542265,2020,3,0
AIR10542265,2020,2,0
AIR10542265,2020,1,0
AIR10551482,2023,12,22700
AIR10551482,2023,11,6525
AIR10551482,2023,10,1700
AIR10551482,2023,9,3225
AIR10551482,2023,8,3600
AIR10551482,2023,7,10500
AIR10551482,2023,6,5400
AIR10551482,2023,5,3300
AIR10551482,2023,4,4425
AIR10551482,2023,3,11425
AIR10551482,2023,2,15350
AIR10551482,2023,1,24140
AIR10551482,2022,12,17200
AIR10551482,2022,11,9300
AIR10551482,2022,10,6800
AIR10551482,2022,9,6675
AIR10551482,2022,8,10250
AIR10551482,2022,7,14085
AIR10551482,2022,6,9150
